Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
2;Aach;Aach (Hegau);47,845556;8,851667;1550;1550;WMD;WMD;ei;;
5;Achenheim;;48,58111111;7,626944444;1423;1423;Elsass;Elsass;i;;
3;Ahlten (bei Hannover, Coldingen);;52,365061;9,911964;1551;1551;NDT;Niedersachsen;;au;
6;Albersweiler (bei Annweiler, Landau);;49,22;8,032222;1601;Anfang 17. Jh.;WMD;WMD;;au;
2;Alflen;ggf Alf;50,176959;7,040473;1499;1499;WMD;WMD;;au;
2;Alflen;ggf Alf;50,176959;7,040473;1507;1507;WMD;WMD;ei;;
3;Alken (Mosel);;50,245833;7,448611;1578;1578 Abschrift 18. Jh.;WMD;WMD;ei;;
4;Allensbach bei Reichenau;;47,72;9,07;1397;1397;WOD;Schwaben;;;
6;Allerheim;;48,84455;10,61892;1353;1353;WOD;Schwaben;ei;au;
1;Alsenzbruck;Alsenbrück-Langmeil;49,565;7,881944;1507;1507;MDT;MDT;ei;au;
1;Alsenzbruck bei Winnweiler Donnersberg;;49,565;7,881944;1507;1507;Elsass;Elsass;;;
1;Alsenzbruck bei Winnweiler Donnersberg;;49,565;7,881944;1507;1507;WMD;WMD;;;
4;Altenbruch, Lüdigwort, Nordleda;;53,823983;8,774089;1439;1439;NDT;Niedersachsen;;u;
3;Altenhaslau;Altenhaßlau (Linsengericht);50,18973;9,19425;1354;1354;MDT;Hessen;ei;;
3;Altenhaslau;Altenhaßlau (Linsengericht);50,18973;9,19425;1461;1461;MDT;Hessen;ei;;
3;Altenhaßlau;;50,19;9,19;1354;1354;MDT;Hessen;;;
6;Altensteig;;48,58638889;8,604722222;1490;1490;WOD;Schwaben;;;
6;Altheim (Niederbaiern);;48,594113;12,201643;NN;NN;OOD;Baiern;ei;;
5;Altheim Beckwiler;;49,172333;7,312174;NN;NN;WMD;WMD;i;;
1;Altorf;;47,311661;8,722229;1439;1439;CH;CH;;u;
1;Altregensperg;;47,428571;8,48202;1456;1456;CH;CH;i;;
1;Altrengensberg bei Zürich;;47,428571;8,48202;1456;1456;CH;CH;;;
4;Altstetten;;47,38753;8,485842;1429;1429;CH;CH;;u;
1;Alzey;;49,751667;8,116111;1589;1589;MDT;MDT;i;;
4;Alzey, siebzehn Dörfer;;49,751667;8,116111;1450;15. Jh;WMD;WMD;;u;
4;Ammertzswiller;Ammertsweiler (Mainhardt);49,079822;9,557314;1576;1576;Elsass;Elsass;;;
2;Andernach;;50,43972222;7,401666667;1498;1498;WMD;WMD;;;
1;Andlau (Breisgau);Abteikirche Andlau (Elsass);48,387778;7,415;1284;1284;Elsass;Elsass;i;;
1;Andlau (im Breisgau);Abteikirche Andlau (Elsass);48,387778;7,415;1284;1284;Elsass;Elsass;i;;
3;Angecht bei Kufstein;;47,58;12,17;NN;NN;OOD;AT;;;
3;Angecht, Angel am Inn;Angath;47,506667;12,064722;NN;NN;OOD;Tirol;ei;;
6;Anhausen Gussenstadt Mecklingen;;48,6178;10,15042;1588;188, 1686-1688;WOD;Schwaben;;au;
2;Antweiler;;50,403611;6,830556;1525;1525;WMD;WMD;;au;
1;Appenwiler;Appenwihr;48,026667;7,44;1486;1486;Elsass;Elsass;i_ei;u;
1;Appenzell;;47,33077;9,40876;1379;1379;CH;CH;;;
1;Appenzell;;47,33077;9,40876;1379;1379;CH;CH;i;;
6;Armorbach;;49,643261;9,21899;1395;1395;MDT;Franken;;u;
1;Artoltzheim Artelsheim;Artolsheim;48,208611;7,573333;1320;1320;Elsass;Elsass;i;;
2;Arweiler;;50,54;7,090556;1400;1400;WMD;WMD;i;;
2;Arweiler;;50,54;7,090556;NN;NN;WMD;WMD;ei;;
1;Arzbach an der Lahn bei Ems;;50,38;7,75;1694;1694;MDT;MDT;;au;
4;Aspach;;47,64;7,23;1420;1420;Elsass;Elsass;i;;
6;Aspach;;47,64;7,23;NN;NN;OOD;Baiern;;au;
1;Aspizheim Gauspizheim bei Alzey;Aspisheim;49,9075;7,982222;1500;1500;WMD;WMD;;au;
1;Attenthal im Dreisamtal;;47,982778;7,963889;NN;NN;WOD;Baden;;;
2;Auen;Auen (Hunsrück) ;49,831389;7,5975;1488;1488;WMD;WMD;ei;;
4;Auenheim bei Kehl;;48,6;7,84;1442;1442;WOD;Schwaben;;;
6;Augsburg;;48,371667;10,898333;1316;1316;WOD;Schwaben;;;
2;Auwe (auf der Kill);;49,901814;6,614631;1606;1606;WMD;WMD;ei;;
5;Avolsheim;;;;1521;1521;Elsass;Elsass;ei;;
2;Awel = Auel bei Hillesheim und Steffeln;;50,28285;6,58762;NN;NN;WMD;WMD;;;
4;Babenhausen;;;;1355;1355;MDT;MDT;i;;
2;Bacharach (Hundsrück);;50,061111;7,769444;1349;vor 1350;WMD;WMD;i;;
2;Bacharach (Hundsrück);;50,061111;7,769444;1386;1386;WMD;WMD;;u;
2;Bacharach (Hundsrück);;50,061111;7,769444;NN;NN;WMD;WMD;i;;
2;Bacharach (Hundsrück);;50,061111;7,769444;1407;1407;WMD;WMD;;;
3;Bakenfeld bei Münster;;51,96;7,63;NN;NN;NDT;Westfalen;;;
5;Balbronn;;;;1663;1663;Elsass;Elsass;ei;au;
6;Baldingen bei Nördlingen;;48,858333;10,476667;1686;1686;WOD;Schwaben;;;
6;Baldingen bei Nördlingen;;48,858333;10,476667;NN;Abschrift 17. Jh.;WOD;Schwaben;;au;
4;Balgau;;47,92805556;7,540277778;1471;1471;Elsass;Elsass;;;
4;Balschwiller;;47,66888889;7,168333333;1413;1413;Elsass;Elsass;ei;;
3;Barkhofen bei Werden;;51,39;7;1320;1320;NDT;Westfalen;;;
3;Barmen;;51,28;7,2;1650;17.Jh.;NDT;Westfalen;;;
5;Barr;;48,40805556;7,449722222;1361;1361;Elsass;Elsass;ei;;
1;Bärstadt FAKE (Werkmüller 1972: 162);;50,1025;8,073333;1489;1489;;;;;
2;Barweiler (Eifel);;50,3575;6,865278;NN;NN;WMD;WMD;;au;
3;Barweiler (Eifel);;50,3575;6,865278;1609;1609;WMD;WMD;ei;;
4;Basel;;47,55814;7,58769;1260;1260-1262;CH;CH;i;u;
4;Basserstorf;;47,44;8,63;1400;um 1400;CH;CH;i;u;
3;Beber (zwischen Hülsede und Hamelspringe);;52,22;9,38;1659;1659;NDT;Niedersachsen;;au;
4;Beber Holzartikel;;;;1572;1572;NDT;Niedersachsen;;u;
1;Becheln bei Braubach;;50,293036;7,717928;1541;1541;MDT;MDT;;au;
5;Behlenheim;;;;1550;16. Jh.;Elsass;Elsass;ei;;
3;Behrungen;Behrungen Grabfeld;50,41;10,414444;1782;1782;MDT;Thüringen;ei;;
3;Behrungen bei Mellrichstadt;;50,41;10,41;NN;NN;MDT;Thüringen;;;
5;Bellheim;;49,19805556;8,279166667;1565;1565;MDT;MDT;;;
1;Bendorf (bei Sayn);;50,429722;7,570278;1671;1671;MDT;MDT;i_ei;;
3;Benker Heide;Flierich;51,588889;7,804722;NN;NN;NDT;Westfalen;;u;
2;Benrod (an der Saar);Lampaden;49,648611;6,701944;1599;1599;WMD;WMD;;au;
6;Benzenzimmern bei Nördlingen;;48,890156;10,436846;1450;1450;WOD;Schwaben;;au;
4;Berentzwiller bei Hüningen;;47,59;7,38;1420;1420;Elsass;Elsass;i;;
4;Berenzwiller;;47,59;7,38;1420;1420;Elsass;Elsass;i;;
5;Bergbieten Boelenheim;;;;1499;1499;Elsass;Elsass;i_ei;;
4;Bergheim;;;;Mitte 14. Jh. ;1369 1551;Elsass;Elsass;i_ei;;
2;Berisborn;Birresborn;50,176389;6,625833;NN;NN;WMD;WMD;ei;au;
4;Berkon;;47,35;8,37;1348;1348;CH;CH;;;
2;Berlingen (Saar);;50,238495;6,717868;1488;1488;WMD;WMD;;;
6;Bernsberg (bei Aachen);;;;1547;1547;WMD;WMD;ei;;
3;Berschampe;Blekede;53,2874;10,732;1503;1503;NDT;Niedersachsen;;u;
5;Bertzweiler (bei Lauterecken und Wolfstein);;;;1469;1469;WMD;WMD;ei;;
2;Besch;;49,504722;6,374167;1541;1541;WMD;WMD;ei;;
1;Betmeringen bei Stühlingen;;47,753929;8,362254;NN;NN;WOD;Baden;;u;
2;Betzing bei Münstermaifeld, Polch;;50,2475;7,363056;NN;NN;WMD;WMD;;;
2;Beulich (Mosel);;50,174761;7,452997;NN;NN;WMD;WMD;;;
5;Beyenheim (bei Friedberg);;;;1455;1455;MDT;Hessen;ei;;
1;Bibelnheim;Biebelnheim;49,796667;8,170556;1529;1529;Elsass;Elsass;ei;au;
1;Bibrau ;Bebra zwischen Offenbach und Seligenstadt;50,088889;8,803056;1385;1385;MDT;MDT;;;
2;Biebern bei Simmern;;49,992889;7,442681;1506;1506;WMD;WMD;;;
4;Biedertan;;;;1303;1303;Elsass;Elsass;;u;
5;Biel (bei Bern);;;;1352;1352;CH;CH;;;
5;Bielbenken;Biel-Beken;48;8;NN;NN;CH;CH;i;u;
4;Binzikon;;47,284444;8,762504;1435;1435;CH;CH;ei;;
6;Birkenfeld;;;;1448;1448;MDT;Franken;ei;au;
1;Birmensdorf und Urdorf;;47,35444;8,437779;1347;1347;CH;CH;;;
1;Birmenstorf und Urdorf;;47,35444;8,437779;1347;1347;CH;CH;i;;
3;Bischofsheim;;50,148889;8,805;1460;1460;MDT;Hessen;i;;
5;Bischofsheim;;50;8;1503;1503;MDT;Hessen;ei;au;
6;Blasweiler (zwischen Altenahr und Laacher See);;;;NN;NN;WMD;WMD;ei;;
1;Bleidenstatt;;50,138889;8,1375;1509;1509;WMD;WMD;;;
1;Blenich = Planich bei Kreuznach;;49,862498;7,912009;1450;15. Jh.;WOD;Baden;;;
4;Bliggenstorf;;47,2;8,5;1381;1381;CH;CH;;;
6;Bobingen bei Augsburg;;48,266667;10,816667;1316;1316;WOD;Schwaben;i;;
4;Bocholt Niederweiler (Eifel);;;;1589;1589;WMD;WMD;ei;au;
3;Bochum;;51,48012;7,21662;1341;1341;NDT;Westfalen;;;
6;Bockenau;;49,836667;7,679444;1487;1487;WMD;WMD;i;;
2;Bockenau Widder (Hundsrück, Nahe);;49,836667;7,679444;NN;NN;WMD;WMD;;;
2;Boelheim;Haus Bollheim;50,697898;6,711702;1413;1413;WMD;WMD;;au;
1;Boffisheim Bofsheim ;Osterburken;49,430833;9,426111;1301;1301;MDT;MDT;i;;
2;Boizweiler (Mosel);Butzweiler;49,815863;6,619411;1539;1539;WMD;WMD;;au;
2;Bollendorf bei Echternach;;49,853056;6,361667;1653;1653;WMD;WMD;;;
3;Bonames;Frankfurt-Bonames;50,18333333;8,664722222;1441;1441;MDT;Hessen;i;;
3;Bonames;;50,18333333;8,664722222;1441;1441;MDT;Hessen;;;
3;Born (Limburg);;51,03;5,81;1486;1486;NDT;Westfalen;;;
5;Bornheim (bei Landau);;;;NN;NN;WMD;WMD;ei;au;
1;Borsikon;;47,284205;8,487077;1412;1412;CH;CH;;u;
5;Boswil;;47,30075;8,31289;1343;1343;CH;CH;;u;
3;Bramsel Brasel;Barmen bei Schwelm;51,275;7,2;1650;17.Jh.;NDT;Westfalen;ei;;
2;Breisich;Bad Breisig;50,509167;7,296389;1490;Ende 15. Jh;WMD;WMD;ei;;
2;Breitfurt;;49,198333;7,246944;1453;1453;WMD;WMD;i;;
6;Brenich (bei Bonn und Brühl);;;;1662;1662;WMD;WMD;ei;;
2;Briedel (Mosel);;50,024042;7,149089;NN;NN;WMD;WMD;;;
4;Brinighofen;;;;1510;1510;Elsass;Elsass;i;;
3;Brokensen (bei Gifhorn);;52,021207;9,482607;1529;1529;NDT;Niedersachsen;;;
3;Bruch (auch Feldbersche Bruch; bei Hannover);;52,3602269;9,656424468;1688;1688;NDT;Niedersachsen;;au;
3;Bruch (auch Feldbersche Bruch; bei Hannover);;52,3602269;9,656424468;1523;1523;NDT;Niedersachsen;;au;
2;Bruch bei Kill und Salm;;49,956944;6,784722;1506;1506;WMD;WMD;;;
1;Bruschwickersheim;;48,579722;7,601667;NN;NN;Elsass;Elsass;i;;
3;Bubenheim;;50,38;7,55;1556;1556;WMD;WMD;;;
1;Bubikon;;47,269714;8,820278;1483;1483;CH;CH;;u;
2;Buch;Buch (Hunsrück);50,076411;7,3942;1551;1551;WMD;WMD;ei;;
3;Buch (bei Landshut);;48,45;12,05;NN;NN;OOD;Baiern;ei;;
2;Büdesheim;;50,217275;6,55669;NN;NN;WMD;WMD;ei;;
2;Büdesheim (Prüm);;50,217275;6,55669;NN;NN;WMD;WMD;ei;;
