Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,year_num,interval,Wein_score,Wein_binary,Haus_score,Haus_binary
1.0,Appenwiler,Appenwihr,"48,026667","7,44",1486,1486,Elsass,Elsass,i_ei,u,,7.44,48.026667,1486.0,1450-1499,0.5,,0.0,0.0
1.0,Bendorf (bei Sayn),,"50,429722","7,570278",1671,1671,WMD,MDT,i_ei,,,7.570278,50.429722,1671.0,1650-1699,0.5,,,
5.0,Bergbieten Boelenheim,,,,1499,1499,Elsass,Elsass,i_ei,,,,,1499.0,1450-1499,0.5,,,
4.0,Bergheim,,,,Mitte 14. Jh. ,1369 1551,Elsass,Elsass,i_ei,,,,,1350.0,1350-1399,0.5,,,
5.0,Dettwiller,,,,1380,1380,Elsass,Elsass,i_ei,au,,,,1380.0,1350-1399,0.5,,1.0,1.0
1.0,Dornstetten,,"48,47027778","8,499444444",1456,1456,WOD,Schwarzwald,i_ei,u,,8.499444444,48.47027778,1456.0,1450-1499,0.5,,0.0,0.0
1.0,Dürkheim,Bad D�rkheim,"49,459444","8,168056",1530,1530,WMD,WMD,i_ei,u,,8.168056,49.459444,1530.0,1500-1549,0.5,,0.0,0.0
6.0,Eschau im Spessart,,"49,820278","9,257222",1462,vor 1463,MDT,Franken,i_ei,,,9.257222,49.820278,1462.0,1450-1499,0.5,,,
6.0,Flamersheim,,"50,623056","6,851389",NN,NN,WMD,WMD,i_ei,,,6.851389,50.623056,,,0.5,,,
6.0,Frechen (bei Köln),,"50,913333","6,813889",NN,NN,WMD,WMD,i_ei,,,6.813889,50.913333,,,0.5,,,
3.0,Haidenfeld,,"49,76","9,52",1420,1420,MDT,Franken,i_ei,,,9.52,49.76,1420.0,1400-1449,0.5,,,
5.0,Hattgau,,,,1494,1494,Elsass,Elsass,i_ei,u_au,,,,1494.0,1450-1499,0.5,,0.5,
3.0,Hetzerodt,Hettenrodt,"49,741667","7,254444",NN,NN,WMD,WMD,i_ei,,,7.254444,49.741667,,,0.5,,,
5.0,Kalbach (bei Büdingen),,,,1525,1525,MDT,MDT,i_ei,,,,,1525.0,1500-1549,0.5,,,
6.0,Karbach,,,,1448,1448,MDT,Franken,i_ei,,,,,1448.0,1400-1449,0.5,,,
4.0,Kloster Münstertreis zu Dreis,Münsterdreisen,,,1357,1357,WMD,WMD,i_ei,,,,,1357.0,1350-1399,0.5,,,
6.0,Kreuzwertheim am Main,,,,1449,1449,MDT,Franken,i_ei,,,,,1449.0,1400-1449,0.5,,,
4.0,Kuenheim,,,,1513,1513,Elsass,Elsass,i_ei,,,,,1513.0,1500-1549,0.5,,,
3.0,Lengfurt,,"49,81","9,603889",1448,1448,MDT,Franken,i_ei,,,9.603889,49.81,1448.0,1400-1449,0.5,,,
6.0,Mesenich an der Mosel,,"50,0975","7,197778",1507,1507,WMD,WMD,i_ei,,,7.197778,50.0975,1507.0,1500-1549,0.5,,,
4.0,Münster bei Colmar,,"48,041389","7,134167",1339,1339,Elsass,Elsass,i_ei,,,7.134167,48.041389,1339.0,1300-1349,0.5,,,
1.0,Neuweiler (Pfalzburg),,"48,823056","7,401111",NN,NN,Elsass,Elsass,i_ei,u,,7.401111,48.823056,,,0.5,,0.0,0.0
4.0,Oberhausen,,"47,49",9,1393,1393,CH,CH,i_ei,,,9.0,47.49,1393.0,1350-1399,0.5,,,
4.0,Oberhergheim,,,,1390,Ende 14. Jh.,Elsass,Elsass,i_ei,,,,,1390.0,1350-1399,0.5,,,
1.0,Oberstotzheim (bei Stotzheim),,"48,379722","7,491389",NN,NN,Elsass,Elsass,i_ei,,,7.491389,48.379722,,,0.5,,,
5.0,Preinsdorf Preuschdorf,,,,NN,NN,Elsass,Elsass,i_ei,,,,,,,0.5,,,
6.0,Rotweil,,"48,168056","8,624722",1434,1434,WOD,Schwaben,i_ei,,,8.624722,48.168056,1434.0,1400-1449,0.5,,,
4.0,Sundhofen,,"48,04333333","7,413611111",NN,NN,Elsass,Elsass,i_ei,,,7.413611111,48.04333333,,,0.5,,,
6.0,Trochtelfingen bei Nördlingen,,"48,308056","9,244444",1668,1668,WOD,Schwaben,i_ei,au,,9.244444,48.308056,1668.0,1650-1699,0.5,,1.0,1.0
2.0,Ürzig (Mosel),,"49,982222","7,005278",1565,1565,WMD,WMD,i_ei,au,,7.005278,49.982222,1565.0,1550-1599,0.5,,1.0,1.0
5.0,Achenheim,,"48,58111111","7,626944444",1423,1423,Elsass,Elsass,i,,,7.626944444,48.58111111,1423.0,1400-1449,0.0,0.0,,
5.0,Altheim Beckwiler,,"49,172333","7,312174",NN,NN,WMD,WMD,i,,,7.312174,49.172333,,,0.0,0.0,,
1.0,Altregensperg,,"47,428571","8,48202",1456,1456,CH,CH,i,,,8.48202,47.428571,1456.0,1450-1499,0.0,0.0,,
1.0,Alzey,,"49,751667","8,116111",1589,1589,MDT,MDT,i,,,8.116111,49.751667,1589.0,1550-1599,0.0,0.0,,
1.0,Andlau (Breisgau),Abteikirche Andlau (Elsass),"48,387778","7,415",1284,1284,Elsass,Elsass,i,,,7.415,48.387778,1284.0,1250-1299,0.0,0.0,,
1.0,Andlau (im Breisgau),Abteikirche Andlau (Elsass),"48,387778","7,415",1284,1284,Elsass,Elsass,i,,,7.415,48.387778,1284.0,1250-1299,0.0,0.0,,
1.0,Appenzell,,"47,33077","9,40876",1379,1379,CH,CH,i,,,9.40876,47.33077,1379.0,1350-1399,0.0,0.0,,
1.0,Artoltzheim Artelsheim,Artolsheim,"48,208611","7,573333",1320,1320,Elsass,Elsass,i,,,7.573333,48.208611,1320.0,1300-1349,0.0,0.0,,
2.0,Arweiler,,"50,54","7,090556",1400,1400,WMD,WMD,i,,,7.090556,50.54,1400.0,1400-1449,0.0,0.0,,
4.0,Aspach,,"47,64","7,23",1420,1420,Elsass,Elsass,i,,,7.23,47.64,1420.0,1400-1449,0.0,0.0,,
4.0,Babenhausen,,,,1355,1355,MDT,MDT,i,,,,,1355.0,1350-1399,0.0,0.0,,
2.0,Bacharach (Hundsrück),,"50,061111","7,769444",1349,vor 1350,WMD,WMD,i,,,7.769444,50.061111,1349.0,1300-1349,0.0,0.0,,
2.0,Bacharach (Hundsrück),,"50,061111","7,769444",NN,NN,WMD,WMD,i,,,7.769444,50.061111,,,0.0,0.0,,
4.0,Basel,,"47,55814","7,58769",1260,1260-1262,CH,CH,i,u,,7.58769,47.55814,1260.0,1250-1299,0.0,0.0,0.0,0.0
4.0,Basserstorf,,"47,44","8,63",1400,um 1400,CH,CH,i,u,,8.63,47.44,1400.0,1400-1449,0.0,0.0,0.0,0.0
4.0,Berentzwiller bei Hüningen,,"47,59","7,38",1420,1420,Elsass,Elsass,i,,,7.38,47.59,1420.0,1400-1449,0.0,0.0,,
4.0,Berenzwiller,,"47,59","7,38",1420,1420,Elsass,Elsass,i,,,7.38,47.59,1420.0,1400-1449,0.0,0.0,,
5.0,Bielbenken,Biel-Beken,48,8,NN,NN,CH,CH,i,u,,8.0,48.0,,,0.0,0.0,0.0,0.0
1.0,Birmenstorf und Urdorf,,"47,35444","8,437779",1347,1347,CH,CH,i,,,8.437779,47.35444,1347.0,1300-1349,0.0,0.0,,
3.0,Bischofsheim,,"50,148889","8,805",1460,1460,MDT,Hessen,i,,,8.805,50.148889,1460.0,1450-1499,0.0,0.0,,
6.0,Bobingen bei Augsburg,,"48,266667","10,816667",1316,1316,WOD,Schwaben,i,,,10.816667,48.266667,1316.0,1300-1349,0.0,0.0,,
6.0,Bockenau,,"49,836667","7,679444",1487,1487,WMD,WMD,i,,,7.679444,49.836667,1487.0,1450-1499,0.0,0.0,,
1.0,Boffisheim Bofsheim ,Osterburken,"49,430833","9,426111",1301,1301,MDT,MDT,i,,,9.426111,49.430833,1301.0,1300-1349,0.0,0.0,,
3.0,Bonames,Frankfurt-Bonames,"50,18333333","8,664722222",1441,1441,MDT,Hessen,i,,,8.664722222,50.18333333,1441.0,1400-1449,0.0,0.0,,
2.0,Breitfurt,,"49,198333","7,246944",1453,1453,WMD,WMD,i,,,7.246944,49.198333,1453.0,1450-1499,0.0,0.0,,
4.0,Brinighofen,,,,1510,1510,Elsass,Elsass,i,,,,,1510.0,1500-1549,0.0,0.0,,
1.0,Bruschwickersheim,,"48,579722","7,601667",NN,NN,Elsass,Elsass,i,,,7.601667,48.579722,,,0.0,0.0,,
3.0,Büdingen,,"50,29","9,11",1380,1380,MDT,Hessen,i,,,9.11,50.29,1380.0,1350-1399,0.0,0.0,,
4.0,Budwiller,,"47,656389","7,149444",1420,1420,Elsass,Elsass,i,,,7.149444,47.656389,1420.0,1400-1449,0.0,0.0,,
4.0,Bühl Bühel bei Sulz,,,,1453,1453,Elsass,Elsass,i,,,,,1453.0,1450-1499,0.0,0.0,,
4.0,Bühl Bühel bei Sulz,,,,NN,NN,Elsass,Elsass,i,,,,,,,0.0,0.0,,
3.0,Burgjassa bei Salmünster,,"50,28","9,37",1451,1451,MDT,Franken,i,,,9.37,50.28,1451.0,1450-1499,0.0,0.0,,
1.0,Cappel (bei Achern),,"48,591111","8,1175",1450,15. Jh.,WOD,Schwarzwald,i,u,,8.1175,48.591111,1450.0,1450-1499,0.0,0.0,0.0,0.0
6.0,"Chuer (Niederfeld, bei Kobern Mosel)",,,,1518,1518,WMD,WMD,i,,,,,1518.0,1500-1549,0.0,0.0,,
2.0,Clotten,,"50,16666667","7,199722222",1435,1435,WMD,WMD,i,,,7.199722222,50.16666667,1435.0,1400-1449,0.0,0.0,,
2.0,Clotten,,"50,16666667","7,199722222",1446,1446,WMD,WMD,i,,,7.199722222,50.16666667,1446.0,1400-1449,0.0,0.0,,
2.0,Clotten,,"50,16666667","7,199722222",1511,1511,WMD,WMD,i,,,7.199722222,50.16666667,1511.0,1500-1549,0.0,0.0,,
6.0,Clotten Untermosel,,"50,16666667","7,199722222",1602,1602,WMD,WMD,i,,,7.199722222,50.16666667,1602.0,1600-1649,0.0,0.0,,
6.0,Clotten Untermosel,,"50,16666667","7,199722222",NN,NN,WMD,WMD,i,,,7.199722222,50.16666667,,,0.0,0.0,,
4.0,Dagmersellen bei Lucern,,"47,213056","7,989455",1346,1346,CH,CH,i,u,,7.989455,47.213056,1346.0,1300-1349,0.0,0.0,0.0,0.0
1.0,Dankrotsheim Trenheim Dosenheim,Dammerkirch,"47,63","7,119167",NN,NN,Elsass,Elsass,i,,,7.119167,47.63,,,0.0,0.0,,
2.0,Densborn bei Prüm und Schönecken,,"50,126389","6,602778",1534,1534,WMD,WMD,i,,,6.602778,50.126389,1534.0,1500-1549,0.0,0.0,,
5.0,Dietikon,,"47,405829","8,403896",NN,NN,CH,CH,i,u,,8.403896,47.405829,,,0.0,0.0,0.0,0.0
5.0,Dingsheim,,"48,63055556","7,669722222",1350,14.Jh.,Elsass,Elsass,i,,,7.669722222,48.63055556,1350.0,1350-1399,0.0,0.0,,
1.0,Dornhaim,Dornhan,"48,349444","8,512222",1417,1417,WOD,Schwarzwald,i,u,,8.512222,48.349444,1417.0,1400-1449,0.0,0.0,0.0,0.0
2.0,Drohn Wintrich Berncastel Graach,Wintrich,"49,884722","6,953333",1315,1315,WMD,WMD,i,,,6.953333,49.884722,1315.0,1300-1349,0.0,0.0,,
2.0,Drohn Wintruch Berncastel Graach,Wintrich,"49,884722","6,953333",1315,1315,WMD,WMD,i,,,6.953333,49.884722,1315.0,1300-1349,0.0,0.0,,
4.0,Dübendorf,,"47,398332","8,619445",1483,1483,CH,CH,i,,,8.619445,47.398332,1483.0,1450-1499,0.0,0.0,,
3.0,Dünchenheim,Düngenheim,"50,25852","7,16833",1521,1521,WMD,WMD,i,,,7.16833,50.25852,1521.0,1500-1549,0.0,0.0,,
5.0,Duntzenheim,,,,1438,1438,Elsass,Elsass,i,,,,,1438.0,1400-1449,0.0,0.0,,
1.0,Ebersheimmünster,Ebersmunster,"48,311111","7,524167",1320,1320,Elsass,Elsass,i,u,,7.524167,48.311111,1320.0,1300-1349,0.0,0.0,0.0,0.0
2.0,Edisheim,Idesheim,"49,874722","6,573333",1518,1518,WMD,WMD,i,,,6.573333,49.874722,1518.0,1500-1549,0.0,0.0,,
1.0,Egeri,Ober�geri,"47,136104","8,613887",1350,14.Jh.,CH,CH,i,,,8.613887,47.136104,1350.0,1350-1399,0.0,0.0,,
4.0,Egisheim,,,,1508,1508,Elsass,Elsass,i,,,,,1508.0,1500-1549,0.0,0.0,,
4.0,Egringen,,,,NN,NN,CH,CH,i,u,,,,,,0.0,0.0,0.0,0.0
1.0,Einsiedeln,,"47,128055","8,743058",1493,1493,CH,CH,i,u,,8.743058,47.128055,1493.0,1450-1499,0.0,0.0,0.0,0.0
