"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
1,"Appenwiler","Appenwihr","48,026667","7,44","1486","1486","Elsass","Elsass","i_ei","u","u",0,1486,7.44,48.026667
1,"Dornstetten",NA,"48,47027778","8,499444444","1456","1456","WOD","Schwarzwald","i_ei","u","u",0,1456,8.499444444,48.47027778
1,"Dürkheim","Bad D�rkheim","49,459444","8,168056","1530","1530","WMD","WMD","i_ei","u","u",0,1530,8.168056,49.459444
6,"Trochtelfingen bei Nördlingen",NA,"48,308056","9,244444","1668","1668","WOD","Schwaben","i_ei","au","au",1,1668,9.244444,48.308056
2,"Ürzig (Mosel)",NA,"49,982222","7,005278","1565","1565","WMD","WMD","i_ei","au","au",1,1565,7.005278,49.982222
4,"Basel",NA,"47,55814","7,58769","1260","1260-1262","CH","CH","i","u","u",0,1260,7.58769,47.55814
4,"Basserstorf",NA,"47,44","8,63","1400","um 1400","CH","CH","i","u","u",0,1400,8.63,47.44
1,"Cappel (bei Achern)",NA,"48,591111","8,1175","1450","15. Jh.","WOD","Schwarzwald","i","u","u",0,1450,8.1175,48.591111
4,"Dagmersellen bei Lucern",NA,"47,213056","7,989455","1346","1346","CH","CH","i","u","u",0,1346,7.989455,47.213056
1,"Dornhaim","Dornhan","48,349444","8,512222","1417","1417","WOD","Schwarzwald","i","u","u",0,1417,8.512222,48.349444
1,"Ebersheimmünster","Ebersmunster","48,311111","7,524167","1320","1320","Elsass","Elsass","i","u","u",0,1320,7.524167,48.311111
1,"Einsiedeln",NA,"47,128055","8,743058","1493","1493","CH","CH","i","u","u",0,1493,8.743058,47.128055
1,"Embrach",NA,"47,510278","8,593334","1518","1518","CH","CH","i","u","u",0,1518,8.593334,47.510278
4,"Erlenbach Zürichsee",NA,"47,30472","8,592499","1510","1510","CH","CH","i","u","u",0,1510,8.592499,47.30472
1,"Ermatingen",NA,"47,66931","9,0799","1518","1518","CH","CH","i","u","u",0,1518,9.0799,47.66931
