"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
5,"Achenheim",NA,"48,58111111","7,626944444","1423","1423","Elsass","Elsass","i",NA,"i",0,1423,7.626944444,48.58111111
1,"Altregensperg",NA,"47,428571","8,48202","1456","1456","CH","CH","i",NA,"i",0,1456,8.48202,47.428571
1,"Alzey",NA,"49,751667","8,116111","1589","1589","MDT","MDT","i",NA,"i",0,1589,8.116111,49.751667
1,"Andlau (Breisgau)","Abteikirche Andlau (Elsass)","48,387778","7,415","1284","1284","Elsass","Elsass","i",NA,"i",0,1284,7.415,48.387778
1,"Andlau (im Breisgau)","Abteikirche Andlau (Elsass)","48,387778","7,415","1284","1284","Elsass","Elsass","i",NA,"i",0,1284,7.415,48.387778
1,"Appenzell",NA,"47,33077","9,40876","1379","1379","CH","CH","i",NA,"i",0,1379,9.40876,47.33077
1,"Artoltzheim Artelsheim","Artolsheim","48,208611","7,573333","1320","1320","Elsass","Elsass","i",NA,"i",0,1320,7.573333,48.208611
2,"Arweiler",NA,"50,54","7,090556","1400","1400","WMD","WMD","i",NA,"i",0,1400,7.090556,50.54
4,"Aspach",NA,"47,64","7,23","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.23,47.64
2,"Bacharach (Hundsrück)",NA,"50,061111","7,769444","1349","vor 1350","WMD","WMD","i",NA,"i",0,1349,7.769444,50.061111
4,"Basel",NA,"47,55814","7,58769","1260","1260-1262","CH","CH","i","u","i",0,1260,7.58769,47.55814
4,"Basserstorf",NA,"47,44","8,63","1400","um 1400","CH","CH","i","u","i",0,1400,8.63,47.44
4,"Berentzwiller bei Hüningen",NA,"47,59","7,38","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.38,47.59
4,"Berenzwiller",NA,"47,59","7,38","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.38,47.59
1,"Birmenstorf und Urdorf",NA,"47,35444","8,437779","1347","1347","CH","CH","i",NA,"i",0,1347,8.437779,47.35444
3,"Bischofsheim",NA,"50,148889","8,805","1460","1460","MDT","Hessen","i",NA,"i",0,1460,8.805,50.148889
6,"Bobingen bei Augsburg",NA,"48,266667","10,816667","1316","1316","WOD","Schwaben","i",NA,"i",0,1316,10.816667,48.266667
6,"Bockenau",NA,"49,836667","7,679444","1487","1487","WMD","WMD","i",NA,"i",0,1487,7.679444,49.836667
1,"Boffisheim Bofsheim ","Osterburken","49,430833","9,426111","1301","1301","MDT","MDT","i",NA,"i",0,1301,9.426111,49.430833
3,"Bonames","Frankfurt-Bonames","50,18333333","8,664722222","1441","1441","MDT","Hessen","i",NA,"i",0,1441,8.664722222,50.18333333
2,"Breitfurt",NA,"49,198333","7,246944","1453","1453","WMD","WMD","i",NA,"i",0,1453,7.246944,49.198333
3,"Büdingen",NA,"50,29","9,11","1380","1380","MDT","Hessen","i",NA,"i",0,1380,9.11,50.29
4,"Budwiller",NA,"47,656389","7,149444","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.149444,47.656389
