Lindgren_Gruppe,interval,n,i_ai,u_au
Bairisch,1250-1299,2,62.5,99.0
Bairisch,1300-1349,2,22.5,75.0
Bairisch,1400-1449,4,99.325,100.0
Bairisch,1450-1499,2,99.95,100.0
Bairisch,1500-1549,4,99.9375,99.925
Ostfränkisch,1300-1349,1,4.0,33.0
Ostfränkisch,1350-1399,1,0.3,0.6
Ostfränkisch,1400-1449,1,2.0,5.0
Ostfränkisch,1500-1549,1,94.0,80.0
Schwäbisch/Augsburg,1300-1349,2,1.04,12.5
Schwäbisch/Augsburg,1350-1399,3,0.06666666666666667,0.4333333333333333
Schwäbisch/Augsburg,1400-1449,3,10.0,12.0
Schwäbisch/Augsburg,1450-1499,5,76.76,65.03999999999999
Schwäbisch/Augsburg,1500-1549,2,72.0,88.0
Südfränkisch,1450-1499,3,0.03333333333333333,0.3333333333333333
