Lindgren_Gruppe,Jahr,i_ai,u_au,Text,interval
Bairisch,1250,75.0,100.0,Wernhers Maria,1250-1299
Bairisch,1250,50.0,98.0,Benedictinerregel,1250-1299
Bairisch,1300,40.0,85.0,Melker Handschrift,1300-1349
Bairisch,1300,5.0,65.0,Gundacker von Judenburg,1300-1349
Bairisch,1400,99.9,100.0,Apollonius,1400-1449
Bairisch,1400,98.0,100.0,Märterbuch,1400-1449
Bairisch,1400,99.5,100.0,Deutsche Sphaera,1400-1449
Bairisch,1400,99.9,100.0,Der große Alexander,1400-1449
Bairisch,1450,100.0,100.0,Dietrichs erste Ausfahrt,1450-1499
Bairisch,1450,99.9,100.0,Chronik der 95 Herrschaften,1450-1499
Bairisch,1500,100.0,100.0,Merlin und Seifrid,1500-1549
Bairisch,1500,100.0,99.7,Füetrers Lanzelot,1500-1549
Bairisch,1500,99.95,100.0,Hans Folz,1500-1549
Bairisch,1500,99.8,100.0,Fastnachtspiele,1500-1549
Ostfränkisch,1300,4.0,33.0,Urkunden,1300-1349
Ostfränkisch,1350,0.3,0.6,Johann von Würzburg,1350-1399
Ostfränkisch,1400,2.0,5.0,Minneburg,1400-1449
Ostfränkisch,1500,94.0,80.0,Erhard Wahraus,1500-1549
Schwäbisch/Augsburg,1300,2.0,25.0,Schwäbische Urkunden,1300-1349
Schwäbisch/Augsburg,1300,0.08,0.0,Ulrich von Türheim,1300-1349
Schwäbisch/Augsburg,1350,0.0,0.7,Summa Theologica,1350-1399
Schwäbisch/Augsburg,1350,0.2,0.6,Der elende Knabe,1350-1399
Schwäbisch/Augsburg,1350,0.0,0.0,Margaretha Ebner,1350-1399
Schwäbisch/Augsburg,1400,0.0,0.0,Oswaltprosa,1400-1449
Schwäbisch/Augsburg,1400,15.0,1.0,Augsburger 1. Chronik,1400-1449
Schwäbisch/Augsburg,1400,15.0,35.0,Schachgedicht,1400-1449
Schwäbisch/Augsburg,1450,96.0,60.0,Augsburger Fortsetzung,1450-1499
Schwäbisch/Augsburg,1450,91.0,75.0,Herzog Ernst Prosa,1450-1499
Schwäbisch/Augsburg,1450,97.0,98.0,Heinrich Mynsinger,1450-1499
Schwäbisch/Augsburg,1450,99.5,92.0,Heinrich Kaufringer,1450-1499
Schwäbisch/Augsburg,1450,0.3,0.2,Herman von Sachsenheim,1450-1499
Schwäbisch/Augsburg,1500,94.0,80.0,Erhard Wahraus,1500-1549
Schwäbisch/Augsburg,1500,50.0,96.0,Nonne von Engelthal,1500-1549
Südfränkisch,1450,0.1,1.0,Reinolt von Montelban,1450-1499
Südfränkisch,1450,0.0,0.0,Prosa-Lancelot,1450-1499
Südfränkisch,1450,0.0,0.0,Minnereden II,1450-1499
