Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
1.0,Appenwiler,Appenwihr,"48,026667","7,44",1486,1486,Elsass,Elsass,i_ei,u,,7.44,48.026667,1486.0,0.0
1.0,Dornstetten,,"48,47027778","8,499444444",1456,1456,WOD,Schwarzwald,i_ei,u,,8.499444444,48.47027778,1456.0,0.0
1.0,Dürkheim,Bad D�rkheim,"49,459444","8,168056",1530,1530,WMD,WMD,i_ei,u,,8.168056,49.459444,1530.0,0.0
6.0,Trochtelfingen bei Nördlingen,,"48,308056","9,244444",1668,1668,WOD,Schwaben,i_ei,au,,9.244444,48.308056,1668.0,1.0
2.0,Ürzig (Mosel),,"49,982222","7,005278",1565,1565,WMD,WMD,i_ei,au,,7.005278,49.982222,1565.0,1.0
4.0,Basel,,"47,55814","7,58769",1260,1260-1262,CH,CH,i,u,,7.58769,47.55814,1260.0,0.0
4.0,Basserstorf,,"47,44","8,63",1400,um 1400,CH,CH,i,u,,8.63,47.44,1400.0,0.0
1.0,Cappel (bei Achern),,"48,591111","8,1175",1450,15. Jh.,WOD,Schwarzwald,i,u,,8.1175,48.591111,1450.0,0.0
4.0,Dagmersellen bei Lucern,,"47,213056","7,989455",1346,1346,CH,CH,i,u,,7.989455,47.213056,1346.0,0.0
1.0,Dornhaim,Dornhan,"48,349444","8,512222",1417,1417,WOD,Schwarzwald,i,u,,8.512222,48.349444,1417.0,0.0
1.0,Ebersheimmünster,Ebersmunster,"48,311111","7,524167",1320,1320,Elsass,Elsass,i,u,,7.524167,48.311111,1320.0,0.0
1.0,Einsiedeln,,"47,128055","8,743058",1493,1493,CH,CH,i,u,,8.743058,47.128055,1493.0,0.0
1.0,Embrach,,"47,510278","8,593334",1518,1518,CH,CH,i,u,,8.593334,47.510278,1518.0,0.0
4.0,Erlenbach Zürichsee,,"47,30472","8,592499",1510,1510,CH,CH,i,u,,8.592499,47.30472,1510.0,0.0
1.0,Ermatingen,,"47,66931","9,0799",1518,1518,CH,CH,i,u,,9.0799,47.66931,1518.0,0.0
1.0,Fischingen,,"47,649722","7,599722",1415,1415,WOD,Schwarzwald,i,u,,7.599722,47.649722,1415.0,0.0
4.0,Heimsbrunn bei Mühlhausen,,"47,726667","7,226389",1301,14. Jh. Anfang,Elsass,Elsass,i,u,,7.226389,47.726667,1301.0,0.0
5.0,Hermetsschwil,Hermetschwil,"47,33177","8,34526",1415,1415,CH,CH,i,u,,8.34526,47.33177,1415.0,0.0
1.0,Kleinkembs,,"47,6881","7,5234",1350,1350,WOD,Schwarzwald,i,u,,7.5234,47.6881,1350.0,0.0
5.0,Koellikon,Köllikon,47,8,1401,15. Jh. Anfang,CH,CH,i,u,,8.0,47.0,1401.0,0.0
5.0,Limburg,Limburg an der Lahn,"50,38333333","8,066666667",1448,1448,MDT,WMD,i,u,,8.066666667,50.38333333,1448.0,0.0
1.0,Lorsch,,"49,653889","8,5675",1423,1423,MDT,MDT,i,u,,8.5675,49.653889,1423.0,0.0
5.0,Muri,,47,8,1413,1413,CH,CH,i,u,,8.0,47.0,1413.0,0.0
1.0,Neukilch im Klettgau,,"47,690275","8,499161",1330,1330,CH,CH,i,u,,8.499161,47.690275,1330.0,0.0
6.0,Nordheim bei Heilbron,,"49,108611","9,128611",1495,1495,WOD,Schwaben,i,u,,9.128611,49.108611,1495.0,0.0
