Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
5.0,Achenheim,,"48,58111111","7,626944444",1423,1423,Elsass,Elsass,i,,,7.626944444,48.58111111,1423.0,0.0
1.0,Altregensperg,,"47,428571","8,48202",1456,1456,CH,CH,i,,,8.48202,47.428571,1456.0,0.0
1.0,Alzey,,"49,751667","8,116111",1589,1589,MDT,MDT,i,,,8.116111,49.751667,1589.0,0.0
1.0,Andlau (Breisgau),Abteikirche Andlau (Elsass),"48,387778","7,415",1284,1284,Elsass,Elsass,i,,,7.415,48.387778,1284.0,0.0
1.0,Andlau (im Breisgau),Abteikirche Andlau (Elsass),"48,387778","7,415",1284,1284,Elsass,Elsass,i,,,7.415,48.387778,1284.0,0.0
1.0,Appenzell,,"47,33077","9,40876",1379,1379,CH,CH,i,,,9.40876,47.33077,1379.0,0.0
1.0,Artoltzheim Artelsheim,Artolsheim,"48,208611","7,573333",1320,1320,Elsass,Elsass,i,,,7.573333,48.208611,1320.0,0.0
2.0,Arweiler,,"50,54","7,090556",1400,1400,WMD,WMD,i,,,7.090556,50.54,1400.0,0.0
4.0,Aspach,,"47,64","7,23",1420,1420,Elsass,Elsass,i,,,7.23,47.64,1420.0,0.0
2.0,Bacharach (Hundsrück),,"50,061111","7,769444",1349,vor 1350,WMD,WMD,i,,,7.769444,50.061111,1349.0,0.0
4.0,Basel,,"47,55814","7,58769",1260,1260-1262,CH,CH,i,u,,7.58769,47.55814,1260.0,0.0
4.0,Basserstorf,,"47,44","8,63",1400,um 1400,CH,CH,i,u,,8.63,47.44,1400.0,0.0
4.0,Berentzwiller bei Hüningen,,"47,59","7,38",1420,1420,Elsass,Elsass,i,,,7.38,47.59,1420.0,0.0
4.0,Berenzwiller,,"47,59","7,38",1420,1420,Elsass,Elsass,i,,,7.38,47.59,1420.0,0.0
1.0,Birmenstorf und Urdorf,,"47,35444","8,437779",1347,1347,CH,CH,i,,,8.437779,47.35444,1347.0,0.0
3.0,Bischofsheim,,"50,148889","8,805",1460,1460,MDT,Hessen,i,,,8.805,50.148889,1460.0,0.0
6.0,Bobingen bei Augsburg,,"48,266667","10,816667",1316,1316,WOD,Schwaben,i,,,10.816667,48.266667,1316.0,0.0
6.0,Bockenau,,"49,836667","7,679444",1487,1487,WMD,WMD,i,,,7.679444,49.836667,1487.0,0.0
1.0,Boffisheim Bofsheim ,Osterburken,"49,430833","9,426111",1301,1301,MDT,MDT,i,,,9.426111,49.430833,1301.0,0.0
3.0,Bonames,Frankfurt-Bonames,"50,18333333","8,664722222",1441,1441,MDT,Hessen,i,,,8.664722222,50.18333333,1441.0,0.0
2.0,Breitfurt,,"49,198333","7,246944",1453,1453,WMD,WMD,i,,,7.246944,49.198333,1453.0,0.0
3.0,Büdingen,,"50,29","9,11",1380,1380,MDT,Hessen,i,,,9.11,50.29,1380.0,0.0
4.0,Budwiller,,"47,656389","7,149444",1420,1420,Elsass,Elsass,i,,,7.149444,47.656389,1420.0,0.0
3.0,Burgjassa bei Salmünster,,"50,28","9,37",1451,1451,MDT,Franken,i,,,9.37,50.28,1451.0,0.0
1.0,Cappel (bei Achern),,"48,591111","8,1175",1450,15. Jh.,WOD,Schwarzwald,i,u,,8.1175,48.591111,1450.0,0.0
2.0,Clotten,,"50,16666667","7,199722222",1435,1435,WMD,WMD,i,,,7.199722222,50.16666667,1435.0,0.0
2.0,Clotten,,"50,16666667","7,199722222",1446,1446,WMD,WMD,i,,,7.199722222,50.16666667,1446.0,0.0
2.0,Clotten,,"50,16666667","7,199722222",1511,1511,WMD,WMD,i,,,7.199722222,50.16666667,1511.0,0.0
6.0,Clotten Untermosel,,"50,16666667","7,199722222",1602,1602,WMD,WMD,i,,,7.199722222,50.16666667,1602.0,0.0
4.0,Dagmersellen bei Lucern,,"47,213056","7,989455",1346,1346,CH,CH,i,u,,7.989455,47.213056,1346.0,0.0
2.0,Densborn bei Prüm und Schönecken,,"50,126389","6,602778",1534,1534,WMD,WMD,i,,,6.602778,50.126389,1534.0,0.0
5.0,Dingsheim,,"48,63055556","7,669722222",1350,14.Jh.,Elsass,Elsass,i,,,7.669722222,48.63055556,1350.0,0.0
1.0,Dornhaim,Dornhan,"48,349444","8,512222",1417,1417,WOD,Schwarzwald,i,u,,8.512222,48.349444,1417.0,0.0
2.0,Drohn Wintrich Berncastel Graach,Wintrich,"49,884722","6,953333",1315,1315,WMD,WMD,i,,,6.953333,49.884722,1315.0,0.0
2.0,Drohn Wintruch Berncastel Graach,Wintrich,"49,884722","6,953333",1315,1315,WMD,WMD,i,,,6.953333,49.884722,1315.0,0.0
4.0,Dübendorf,,"47,398332","8,619445",1483,1483,CH,CH,i,,,8.619445,47.398332,1483.0,0.0
3.0,Dünchenheim,Düngenheim,"50,25852","7,16833",1521,1521,WMD,WMD,i,,,7.16833,50.25852,1521.0,0.0
1.0,Ebersheimmünster,Ebersmunster,"48,311111","7,524167",1320,1320,Elsass,Elsass,i,u,,7.524167,48.311111,1320.0,0.0
2.0,Edisheim,Idesheim,"49,874722","6,573333",1518,1518,WMD,WMD,i,,,6.573333,49.874722,1518.0,0.0
1.0,Egeri,Ober�geri,"47,136104","8,613887",1350,14.Jh.,CH,CH,i,,,8.613887,47.136104,1350.0,0.0
1.0,Einsiedeln,,"47,128055","8,743058",1493,1493,CH,CH,i,u,,8.743058,47.128055,1493.0,0.0
1.0,Elhalden (Ehlhalten) Nithusen,,"50,174992","8,368401",1482,1482,MDT,MDT,i,,,8.368401,50.174992,1482.0,0.0
