Region eigene,interval,n_weisthuemer,diph_score,weisthuemer_rate,Variable,Lindgren_Gruppe,lindgren_rate,n_lindgren,abs_diff
MDT,1350-1399,8,4.0,50.0,Wein,Ostfränkisch,0.3,1,49.7
MDT,1400-1449,26,11.0,42.30769230769231,Wein,Ostfränkisch,2.0,1,40.30769230769231
MDT,1500-1549,17,12.5,73.52941176470588,Wein,Ostfränkisch,94.0,1,20.470588235294116
OOD,1400-1449,6,6.0,100.0,Wein,Bairisch,99.325,4,0.6749999999999972
WMD,1450-1499,39,24.0,61.53846153846154,Wein,Südfränkisch,0.03333333333333333,3,61.50512820512821
WOD,1350-1399,10,2.0,20.0,Wein,Schwäbisch/Augsburg,0.06666666666666667,3,19.933333333333334
WOD,1400-1449,6,1.5,25.0,Wein,Schwäbisch/Augsburg,10.0,3,15.0
WOD,1450-1499,11,3.5,31.818181818181817,Wein,Schwäbisch/Augsburg,76.76,5,44.94181818181819
MDT,1400-1449,10,3.5,35.0,Haus,Ostfränkisch,5.0,1,30.0
MDT,1500-1549,6,6.0,100.0,Haus,Ostfränkisch,80.0,1,20.0
WMD,1450-1499,15,10.5,70.0,Haus,Südfränkisch,0.3333333333333333,3,69.66666666666667
WOD,1350-1399,8,3.0,37.5,Haus,Schwäbisch/Augsburg,0.4333333333333333,3,37.06666666666667
WOD,1400-1449,5,0.0,0.0,Haus,Schwäbisch/Augsburg,12.0,3,12.0
WOD,1450-1499,15,6.0,40.0,Haus,Schwäbisch/Augsburg,65.03999999999999,5,25.039999999999992
