Period30,Wein_N,Wein_Ei,Haus_N,Haus_Au,Rate_Wein,Rate_Haus
1290.0,9,2,12,2,0.2222222222222222,0.16666666666666666
1320.0,16,3,10,0,0.1875,0.0
1350.0,22,6,11,4,0.2727272727272727,0.36363636363636365
1380.0,40,11,18,7,0.275,0.3888888888888889
1410.0,52,12,33,7,0.23076923076923078,0.21212121212121213
1440.0,73,38,50,20,0.5205479452054794,0.4
1470.0,54,23,37,18,0.42592592592592593,0.4864864864864865
1500.0,63,41,27,16,0.6507936507936508,0.5925925925925926
1530.0,71,61,41,35,0.8591549295774648,0.8536585365853658
1560.0,74,68,35,34,0.918918918918919,0.9714285714285714
1590.0,24,20,14,13,0.8333333333333334,0.9285714285714286
1620.0,14,13,10,10,0.9285714285714286,1.0
1650.0,13,13,9,9,1.0,1.0
1680.0,4,4,4,3,1.0,0.75
