Region eigene,interval,n,diph_score,rate,Variable
CH,1250-1299,1,0.0,,Wein
CH,1300-1349,5,0.0,0.0,Wein
CH,1350-1399,6,0.5,8.333333333333332,Wein
CH,1400-1449,17,3.0,17.647058823529413,Wein
CH,1450-1499,22,1.0,4.545454545454546,Wein
CH,1500-1549,9,1.0,11.11111111111111,Wein
CH,1550-1599,2,1.0,,Wein
Elsass,1250-1299,2,0.0,,Wein
Elsass,1300-1349,14,3.5,25.0,Wein
Elsass,1350-1399,18,3.5,19.444444444444446,Wein
Elsass,1400-1449,25,3.0,12.0,Wein
Elsass,1450-1499,16,6.5,40.625,Wein
Elsass,1500-1549,15,10.5,70.0,Wein
Elsass,1550-1599,23,16.0,69.56521739130434,Wein
Elsass,1600-1649,3,3.0,,Wein
Elsass,1650-1699,2,2.0,,Wein
Elsass,1750-1799,1,1.0,,Wein
MDT,1250-1299,1,0.0,,Wein
MDT,1300-1349,1,0.0,,Wein
MDT,1350-1399,8,4.0,50.0,Wein
MDT,1400-1449,28,12.0,42.857142857142854,Wein
MDT,1450-1499,22,14.5,65.9090909090909,Wein
MDT,1500-1549,17,12.5,73.52941176470588,Wein
MDT,1550-1599,12,10.0,83.33333333333334,Wein
MDT,1600-1649,2,2.0,,Wein
MDT,1650-1699,2,2.0,,Wein
MDT,1700-1749,3,3.0,,Wein
MDT,1750-1799,2,2.0,,Wein
NDT,1350-1399,1,1.0,,Wein
NDT,1550-1599,2,2.0,,Wein
NDT,1600-1649,1,0.0,,Wein
NDT,1650-1699,2,2.0,,Wein
OOD,1350-1399,1,1.0,,Wein
OOD,1400-1449,6,6.0,100.0,Wein
OOD,1450-1499,4,4.0,,Wein
OOD,1500-1549,1,1.0,,Wein
OOD,1550-1599,3,3.0,,Wein
WMD,1300-1349,5,2.0,40.0,Wein
WMD,1350-1399,9,4.5,50.0,Wein
WMD,1400-1449,13,5.0,38.46153846153847,Wein
WMD,1450-1499,41,25.0,60.97560975609756,Wein
WMD,1500-1549,66,53.0,80.3030303030303,Wein
WMD,1550-1599,79,71.5,90.50632911392405,Wein
WMD,1600-1649,21,20.0,95.23809523809523,Wein
WMD,1650-1699,13,12.5,96.15384615384616,Wein
WMD,1750-1799,1,1.0,,Wein
WOD,1250-1299,1,0.0,,Wein
WOD,1300-1349,3,0.0,,Wein
WOD,1350-1399,10,2.0,20.0,Wein
WOD,1400-1449,6,1.5,25.0,Wein
WOD,1450-1499,11,3.5,31.818181818181817,Wein
WOD,1500-1549,1,1.0,,Wein
WOD,1550-1599,3,3.0,,Wein
WOD,1600-1649,1,1.0,,Wein
WOD,1650-1699,3,2.5,,Wein
CH,1250-1299,2,0.0,,Haus
CH,1300-1349,6,0.0,0.0,Haus
CH,1350-1399,3,0.0,,Haus
CH,1400-1449,24,3.0,12.5,Haus
CH,1450-1499,23,2.5,10.869565217391305,Haus
CH,1500-1549,9,0.5,5.555555555555555,Haus
CH,1550-1599,2,1.5,,Haus
CH,1600-1649,1,0.0,,Haus
CH,1650-1699,1,0.0,,Haus
Elsass,1200-1249,1,0.0,,Haus
Elsass,1300-1349,9,0.0,0.0,Haus
Elsass,1350-1399,3,1.0,,Haus
Elsass,1400-1449,6,2.0,33.33333333333333,Haus
Elsass,1450-1499,5,1.5,30.0,Haus
Elsass,1500-1549,5,2.5,50.0,Haus
Elsass,1550-1599,6,6.0,100.0,Haus
Elsass,1600-1649,1,1.0,,Haus
Elsass,1650-1699,1,1.0,,Haus
MDT,1300-1349,1,0.0,,Haus
MDT,1350-1399,3,2.0,,Haus
MDT,1400-1449,10,3.5,35.0,Haus
MDT,1450-1499,15,10.0,66.66666666666666,Haus
MDT,1500-1549,6,6.0,100.0,Haus
MDT,1550-1599,5,5.0,100.0,Haus
MDT,1600-1649,3,3.0,,Haus
MDT,1650-1699,2,2.0,,Haus
MDT,1750-1799,1,1.0,,Haus
NDT,1400-1449,1,0.0,,Haus
NDT,1450-1499,3,1.0,,Haus
NDT,1500-1549,9,3.0,33.33333333333333,Haus
NDT,1550-1599,10,9.0,90.0,Haus
NDT,1600-1649,5,5.0,100.0,Haus
NDT,1650-1699,4,4.0,,Haus
OOD,1300-1349,1,1.0,,Haus
OOD,1400-1449,3,3.0,,Haus
OOD,1450-1499,3,3.0,,Haus
OOD,1550-1599,3,3.0,,Haus
OOD,1600-1649,1,1.0,,Haus
OOD,1650-1699,1,1.0,,Haus
WMD,1300-1349,1,1.0,,Haus
WMD,1350-1399,3,2.0,,Haus
WMD,1400-1449,3,3.0,,Haus
WMD,1450-1499,15,10.5,70.0,Haus
WMD,1500-1549,28,26.0,92.85714285714286,Haus
WMD,1550-1599,24,23.0,95.83333333333334,Haus
WMD,1600-1649,9,9.0,100.0,Haus
WMD,1650-1699,4,4.0,,Haus
WMD,1750-1799,1,1.0,,Haus
WOD,1300-1349,3,0.0,,Haus
WOD,1350-1399,9,3.0,33.33333333333333,Haus
WOD,1400-1449,5,0.0,0.0,Haus
WOD,1450-1499,15,6.0,40.0,Haus
WOD,1500-1549,3,3.0,,Haus
WOD,1550-1599,3,3.0,,Haus
WOD,1600-1649,1,1.0,,Haus
WOD,1650-1699,3,3.0,,Haus
